Name,Salary
Dentist,"$142,750"
Registered Nurse,"$65,790"
Pharmacist,"$113,410"
Computer Systems Analyst,"$78,670"
Physician,"$183,270"
Database Administrator,"$75,390"
Software Developer,"$89,530"
Physical Therapist,"$77,930"
Web Developer,"$77,390"
Dental Hygienist,"$69,480"
Occupational Therapist,"$74,820"
Veterinarian,"$82,940"
Computer Programmer,"$72,230"
School Psychologist,"$67,830"
Physical Therapist Assistant,"$51,340"
Interpreter & Translator,"$44,260"
Mechanical Engineer,"$79,220"
Veterinary Technologist & Technician,"$30,140"
Epidemiologist,"$64,320"
IT Manager,"$118,310"
Market Research Analyst,"$60,350"
Diagnostic Medical Sonographer,"$65,410"
Computer Systems Administrator,"$70,970"
Respiratory Therapist,"$55,350"
Medical Secretary,"$31,460"
Civil Engineer,"$77,940"
Substance Abuse Counselor,"$38,540"
Speech-Language Pathologist,"$69,150"
Landscaper & Groundskeeper,"$23,510"
Radiologic Technologist,"$55,520"
Cost Estimator,"$58,440"
Financial Advisor,"$66,480"
Marriage & Family Therapist,"$46,440"
Medical Assistant,"$29,300"
Lawyer,"$113,330"
Accountant,"$62,450"
Compliance Officer,"$60,440"
High School Teacher,"$54,370"
Clinical Laboratory Technician,"$36,940"
Maintenance & Repair Worker,"$35,330"
"Bookkeeping, Accounting, & Audit Clerk","$34,730"
Financial Manager,"$107,660"
Recreation & Fitness Worker,"$31,330"
Insurance Agent,"$47,450"
Elementary School Teacher,"$52,810"
Dental Assistant,"$34,140"
Management Analyst,"$78,440"
Home Health Aide,"$20,310"
Pharmacy Technician,"$29,940"
Construction Manager,"$84,440"
Public Relations Specialist,"$54,130"
Middle School Teacher,"$53,140"
Massage Therapist,"$35,840"
Paramedic,"$30,740"
Preschool Teacher,"$26,640"
Hairdresser,"$22,540"
Marketing Manager,"$116,510"
Patrol Officer,"$54,330"
School Counselor,"$54,630"
Executive Assistant,"$45,680"
Financial Analyst,"$75,630"
Personal Care Aide,"$19,750"
Clinical Social Worker,"$48,620"
Business Operations Manager,"$95,250"
Loan Officer,"$58,530"
"Meeting, Convention & Event Planner","$46,520"
Mental Health Counselor,"$39,170"
Nursing Aide,"$24,170"
Sales Representative,"$53,740"
Architect,"$73,440"
Sales Manager,"$101,650"
HR Specialist,"$54,410"
Plumber,"$47,450"
Real Estate Agent,"$39,470"
Glazier,"$37,450"
Art Director,"$81,360"
Customer Service Representative,"$30,630"
Logistician,"$71,930"
Auto Mechanic,"$36,180"
Bus Driver,"$35,720"
Restaurant Cook,"$22,080"
Child & Family Social Worker,"$40,680"
Administrative Assistant,"$31,870"
Receptionist,"$25,340"
Paralegal,"$46,730"
Cement Mason & Concrete Finisher,"$35,500"
Painter,"$35,630"
Sports Coach,"$28,570"
Teacher Assistant,"$23,680"
Brickmason & Blockmason,"$46,840"
Cashier,"$18,830"
Janitor,"$22,470"
Electrician,"$49,330"
Delivery Truck Driver,"$29,280"
Maid & Housekeeper,"$19,290"
Carpenter,"$40,210"
Security Guard,"$23,930"
Construction Worker,"$29,450"
Fabricator,"$35,570"
Telemarketer,"$23,570"
